genus,dbh.min,dbh.q.025,dbh.q.25,dbh.median,dbh.q.75,dbh.q.975,dbh.max,dbh.mean,dbh.sd,dbh.n,dbh.cv,dbh.se,H.min,H.q.025,H.q.25,H.median,H.q.75,H.q.975,H.max,H.mean,H.sd,H.n,H.cv,H.se,wd.min,wd.q.025,wd.q.25,wd.median,wd.q.75,wd.q.975,wd.max,wd.mean,wd.sd,wd.n,wd.cv,wd.se,agb.min,agb.q.025,agb.q.25,agb.median,agb.q.75,agb.q.975,agb.max,agb.mean,agb.sd,agb.n,agb.cv,agb.se,n,n.sp,n.family,n.order
Corypha,5.411268065124442,5.514718778134173,8.912676813146138,16.233804195373324,8.912676813146138,36.13612982901482,42.65352474862795,16.233804195373324,9.482133703801582,14,58.40980702788084,2.534206829657667,2,2,3.25,7,3.25,10,10,6.357142857142857,3.3879229592808007,14,53.293170145990125,0.9054604976010028,0.5517604166666666,0.5517604166666666,0.5517604166666666,0.5517604166666666,0.5517604166666666,0.5517604166666666,0.5517604166666666,0.5517604166666666,0,14,0,0,0.6288573683470781,0.7002969974142369,0.8360852905422044,0.9118670477425721,0.8360852905422044,1.2333275388521054,1.4765007193467716,0.9305230464098033,0.1433580398264724,100,15.406178318697695,0.01433580398264724,1,1,1,1
Couroupita,2.5464790894703255,2.5464790894703255,5.092958178940651,9.549296585513721,5.092958178940651,57.61408939926611,95.4929658551372,14.141455581260544,14.223352147342757,1521,100.5791240202369,0.3647013371113527,2,2,3,5,3,14,20,5.641025641025641,3.019672341932412,1521,53.53055515243821,0.07742749594698492,0.434,0.434,0.434,0.434,0.434,0.434,0.434,0.434,0,1521,0,0,139.50486150067857,140.5920737357078,146.54811605517813,149.69928863120657,146.54811605517813,162.52473594495112,169.38356402449924,150.2382136919692,6.072011101588446,100,4.0415889888292895,0.6072011101588446,1,1,1,1
Crataeva,2.5464790894703255,2.7374650211805998,7.321127382227186,13.050705333535419,7.321127382227186,25.050988042664326,27.05634032562221,13.218869046991006,6.832294109375529,53,51.68592021819563,0.9384877719271287,2,2,3,5,3,8,9,4.679245283018868,1.878763759923616,53,40.15099970804502,0.2580680495894673,0.68325,0.68325,0.68325,0.68325,0.68325,0.68325,0.68325,0.68325,0,53,0,0,1.9336949963106873,2.2286159711197753,2.408679191502207,2.517347411818222,2.408679191502207,3.0101891081662107,3.3587611430505793,2.5591511886434546,0.22782274006328715,100,8.902277484592483,0.022782274006328714,1,1,1,1
Crescentia,4.138028520389279,4.448380659418476,8.276057040778557,14.642254764454371,8.276057040778557,31.56042521512284,33.42253804929802,14.809367454700862,7.387359700713583,40,49.88301980695773,1.1680441274597364,2,2.975,4,5,4,8,8,5.15,1.6416064677235513,40,31.875853742204878,0.2595607729835055,0.6339999999999999,0.6339999999999999,0.6339999999999999,0.6339999999999999,0.6339999999999999,0.6339999999999999,0.6339999999999999,0.6339999999999999,0,40,0,0,1.8367384404568072,1.934330944520945,2.138363857157741,2.2471743267922504,2.138363857157741,2.661180643826331,2.7518555668877633,2.2645183395319455,0.19675926883719058,100,8.688791139481735,0.01967592688371906,1,1,1,1
Croton,3.819718634205488,4.392676429336309,9.549296585513721,15.278874536821952,9.549296585513721,26.165072644307596,26.73803043943842,15.278874536821952,16.20569369082791,2,106.06601717798215,11.459155902616464,3,3.1749999999999994,4.75,6.5,4.75,9.825,10,6.5,4.949747468305833,2,76.14996105085896,3.4999999999999996,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0,2,0,0,0.08136392298120196,0.10537473496855823,0.1622919209767126,0.20975853122575705,0.1622919209767126,0.4791443927367202,0.6012465677975288,0.2343703358043872,0.10356391305897329,100,44.188148941089096,0.01035639130589733,1,1,1,1
Cryptomeria,2.5464790894703255,2.5464790894703255,3.183098861837907,4.7746482927568605,3.183098861837907,12.732395447351628,77.34930234266113,5.515301052316217,3.5730405490704147,1025,64.78414351597132,0.11160303678577145,2,2,2,3,2,6,12,3.2848780487804876,1.3710225176496698,1025,41.73739473094481,0.04282354884306735,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0,1025,0,0,3.9788238536247347,4.014414228515201,4.231690052983235,4.428787313044573,4.231690052983235,4.894116733201095,5.134264336316664,4.424462872470417,0.236834345348041,100,5.352838348393769,0.0236834345348041,1,1,1,1
Cupressus,2.5464790894703255,3.183098861837907,4.45633840657307,6.8436625529515,4.45633840657307,17.507043740108486,30.557749073643905,8.510311069571824,4.698053461109223,462,55.20425073422838,0.2185732282585009,2,2,4,5,4,9,13,4.982683982683983,2.0692257408817687,462,41.52833589432568,0.09626909398202817,0.4,0.4,0.4,0.4,0.4,0.4,0.435,0.40060606060606063,0,462,0,0,6.169549290740905,6.311376482839763,6.534304482204335,6.711542247759015,6.534304482204335,7.120537228914188,7.401080229313816,6.703612052630245,0.2233887520143959,100,3.332363959318716,0.02233887520143959,2,2,1,1
Cycas,2.5464790894703255,4.7746482927568605,12.095775674984045,15.915494309189533,12.095775674984045,32.913242231403984,63.66197723675813,16.85701401688172,7.379704004204397,1353,43.778239709677386,0.20062730739921103,2,2,2,2,2,5,16,2.6600147819660016,1.0108899645814033,1353,38.003170938556224,0.02748242091489086,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,1353,0,0,36.20983537247013,36.309443219452554,37.03804682160494,37.3971406451593,37.03804682160494,39.100576140983605,39.34537924276581,37.483271549244535,0.680153846903141,100,1.8145530493771673,0.0680153846903141,2,2,1,1
Dalbergia,2.5464790894703255,2.5464790894703255,3.819718634205488,5.729577951308232,3.819718634205488,16.552114081557114,288.0704469963306,6.6971883612882035,4.540725827477212,302753,67.8004795822079,0.008252414852293529,2,2,3,4,3,7,22,3.847644779737938,1.3352353728533712,302753,34.70266745737151,0.002426686094008205,0.5605,0.6764285714285715,1.0772,1.0772,1.0772,1.0772,1.0772,1.0567717592983625,0,302753,0,0,5528.5308973075835,5533.064749829378,5574.527765369405,5597.37550904855,5574.527765369405,5668.619772159323,5683.88997137495,5598.85916205332,35.142721731795,100,0.6276764732711511,3.5142721731795,4,4,1,1
Delonix,2.5464790894703255,3.183098861837907,14.32394487827058,23.23662169141672,14.32394487827058,68.1183156433312,286.7972074515954,26.1587904877354,17.49242769717008,39542,66.8701701073352,0.08796720061198522,2,3,6,8,6,15,25,8.493020079915027,3.153418348570652,39542,37.12952894139634,0.01585814097874516,0.57875,0.57875,0.57875,0.57875,0.57875,0.57875,0.57875,0.57875,0,39542,0,0,12381.445754052558,12418.627407659267,12512.360550336323,12582.069383114675,12512.360550336323,12770.524769079606,12873.194219604722,12588.886656827388,100.23900804524224,100,0.7962499844327311,10.023900804524224,2,2,1,1
