family,dbh.min,dbh.q.025,dbh.q.25,dbh.median,dbh.q.75,dbh.q.975,dbh.max,dbh.mean,dbh.sd,dbh.n,dbh.cv,dbh.se,H.min,H.q.025,H.q.25,H.median,H.q.75,H.q.975,H.max,H.mean,H.sd,H.n,H.cv,H.se,wd.min,wd.q.025,wd.q.25,wd.median,wd.q.75,wd.q.975,wd.max,wd.mean,wd.sd,wd.n,wd.cv,wd.se,agb.min,agb.q.025,agb.q.25,agb.median,agb.q.75,agb.q.975,agb.max,agb.mean,agb.sd,agb.n,agb.cv,agb.se,n,n.sp,n.genus,n.order
Clusiaceae,2.5464790894703255,3.1035213902919594,4.45633840657307,7.957747154594767,4.45633840657307,31.87077735415204,49.33803235848755,10.488080090418089,8.060249263300188,276,76.85152281268363,0.4851699918231679,2,2,3,5,3,11.125,17,5.163043478260869,2.5610104848589184,276,49.60272939095169,0.15415471599067015,0.605,0.605,0.605,0.741621568627451,0.605,0.741621568627451,0.785,0.6878231173628871,0,276,0,0,13.126502216080672,14.065039045793927,15.142465894132375,15.807911657753607,15.142465894132375,18.161062993347105,19.30611890431793,15.871206871130223,1.1367551152045758,100,7.162373500860462,0.11367551152045759,3,3,2,1
Combretaceae,2.5464790894703255,2.5464790894703255,7.002817496043395,11.459155902616464,7.002817496043395,35.01408748021697,182.07325489712827,13.46149607200665,9.201454307746847,50059,68.35387581385837,0.04112589752216474,2,2,4,6,4,12,23,6.092371002217384,2.8538972727357717,50059,46.8437866258812,0.012755493083142513,0.478,0.478,0.478,0.478,0.478,0.845,0.88,0.5983337965658326,0,50059,0,0,3264.264690760715,3278.0579968336633,3301.153418496363,3315.318197874057,3301.153418496363,3360.327313284808,3375.4133319091843,3317.034300165785,22.007529384086375,100,0.6634700576652596,2.2007529384086375,9,9,3,1
Cornaceae,3.183098861837907,3.2785918276930444,3.9788735772973833,9.549296585513721,3.9788735772973833,37.57648206399649,41.061975317709,13.050705333535419,13.437051359976486,7,102.96034594734357,5.078728036071432,4,4.15,5.5,6,5.5,7.85,8,6,1.2909944487358056,7,21.51657414559676,0.48795003647426655,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0,7,0,0,0.32064357839730223,0.40922957497872176,0.5929755926648943,0.7163472319490303,0.5929755926648943,1.1325254148666466,1.444387498497876,0.7213797902151935,0.19713525362275244,100,27.32752653965332,0.019713525362275244,1,1,1,1
Cupressaceae,2.5464790894703255,2.5464790894703255,3.5014087480216975,4.7746482927568605,3.5014087480216975,17.507043740108486,77.34930234266113,6.2143497797516885,4.315573418777966,7863,69.44529309952048,0.048668097745065274,2,2,2,3,2,8,15,3.4985374538980034,1.6916201947622214,7863,48.35221051806807,0.019076940419548424,0.4,0.4,0.4133659602302459,0.4133659602302459,0.4133659602302459,0.4133659602302459,0.6067142857142857,0.41185831482731516,0,7863,0,0,56.4950088877544,57.381308273126166,58.61948033609118,59.533845278398175,58.61948033609118,61.92789417823072,63.019429614136754,59.5719495441172,1.2170789589718063,100,2.043040337416646,0.12170789589718063,6,6,5,1
Cycadaceae,2.5464790894703255,4.7746482927568605,12.095775674984045,15.915494309189533,12.095775674984045,32.913242231403984,63.66197723675813,16.85701401688172,7.379704004204397,1353,43.778239709677386,0.20062730739921103,2,2,2,2,2,5,16,2.6600147819660016,1.0108899645814033,1353,38.003170938556224,0.02748242091489086,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,1353,0,0,36.20983537247013,36.309443219452554,37.03804682160494,37.3971406451593,37.03804682160494,39.100576140983605,39.34537924276581,37.483271549244535,0.680153846903141,100,1.8145530493771673,0.0680153846903141,2,2,1,1
Dilleniaceae,2.5464790894703255,2.5464790894703255,3.819718634205488,6.366197723675814,3.819718634205488,27.374650211806,82.44226052160178,8.74725592741283,7.435109575904189,635,84.99933736480106,0.29505332336889045,2,2,3,4,3,9,14,4.359055118110236,2.036781431832623,635,46.725296575640016,0.08082720561185268,0.5953333333333333,0.5953333333333333,0.7,0.7,0.7,0.7,0.7,0.6896157480314961,0,635,0,0,19.771105176519104,20.06088890276002,21.22725665366133,21.9794359726814,21.22725665366133,25.49144815080321,27.659581077282446,22.10561198792157,1.325489542030959,100,5.996167591990676,0.1325489542030959,2,2,1,1
Dipterocarpaceae,8.276057040778557,8.276057040778557,8.276057040778557,8.276057040778557,8.276057040778557,8.276057040778557,8.276057040778557,8.276057040778557,NA,1,NA,NA,4,4,4,4,4,4,4,4,NA,1,NA,NA,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,NA,1,NA,NA,7.344838273154614e-4,0.002745609177852334,0.007990581414260265,0.01011272156621159,0.007990581414260265,0.022728963839061866,0.05986655172152928,0.011552809277072687,0.006829686154406306,100,59.11710295399985,6.829686154406306e-4,1,1,1,1
Ebenaceae,2.5464790894703255,3.183098861837907,4.45633840657307,7.957747154594767,4.45633840657307,38.069862387581196,85.94366926962348,10.734341989809426,9.895642419106812,628,92.18676308711956,0.39487912140353,2,2,3,4,3,12,15,4.625796178343949,2.4530884423026613,628,53.03062105907302,0.09788888561204316,0.68,0.68,0.68,0.68,0.68,0.715,0.7749999999999999,0.6908218160908448,0,628,0,0,38.452876543149095,38.79355339484283,41.10851288706506,42.88389627531082,41.10851288706506,47.49372583279058,48.709908453833556,42.92738298619593,2.3348865255848033,100,5.43915413230671,0.23348865255848034,5,5,1,1
Elaeocarpaceae,2.5464790894703255,2.5464790894703255,3.183098861837907,6.366197723675814,3.183098861837907,21.772396214971273,35.01408748021697,7.406705777856926,5.124987980508897,305,69.19389178156032,0.29345595810179903,2,2,3,4,3,9,12,4.593442622950819,2.318111530942339,305,50.46566858939425,0.13273468013713544,0.327,0.327,0.327,0.327,0.327,0.327,0.327,0.327,0,305,0,0,2.749522677089985,2.9298079758391955,3.11479341914915,3.1896092258570787,3.11479341914915,3.5893896786134354,3.7991062534663906,3.220152765020628,0.18312000367605258,100,5.686686844960274,0.018312000367605257,1,1,1,1
Euphorbiaceae,2.5464790894703255,3.183098861837907,3.819718634205488,6.684507609859605,3.819718634205488,18.46197339865986,67.80000575714742,7.438852816936913,4.531351339602586,3104,60.91465244863461,0.08133301659577734,2,2,3,3,3,8,21,3.752577319587629,1.544691342736765,3104,41.16347808941379,0.02772559380160123,0.17,0.17,0.17,0.17,0.17,0.6033333333333334,0.606,0.20666720098902022,0,3104,0,0,17.24440687195833,17.796315266899185,18.43220705794853,18.942662710578073,18.43220705794853,20.23704951949123,20.68502623563955,18.91007581070201,0.6618226781464379,100,3.4998414854153284,0.06618226781464379,8,8,7,1
